title,doi,journal,pmid,tags
"Short-Root regulates primary, lateral, and adventitious root development in Arab",10.1104/pp.110.165126,,,reference
Genome-wide direct target analysis reveals a role for SHORT-ROOT in root vascula,10.1104/pp.111.183178,,,reference
RooTrak: automated recovery of three-dimensional plant root architecture in soil,10.1104/pp.111.186221,,,reference
"Auxin and epigenetic regulation of SKP2B, an F-box that represses lateral root f",10.1104/pp.112.198341,,,reference
Identification of an Arabidopsis fatty alcohol:caffeoyl-Coenzyme A acyltransfera,10.1104/pp.112.201822,,,reference
The optimal lateral root branching density for maize depends on nitrogen and pho,10.1104/pp.113.233916,,,reference
The Emerging Role of Reactive Oxygen Species Signaling during Lateral Root Devel,10.1104/pp.114.238873,,,reference
An enhancer trap line associated with a D-class cyclin gene in Arabidopsis.,10.1104/pp.124.4.1658,,,reference
Seed Dormancy in Arabidopsis Is Controlled by Alternative Polyadenylation of DOG,10.1104/pp.15.01483,,,reference
The Distinct Roles of Class I and II RPD3-Like Histone Deacetylases in Salinity,10.1104/pp.17.01332,,,reference
"A Comprehensive Toolkit for Inducible, Cell Type-Specific Gene Expression in Ara",10.1104/pp.18.00463,,,reference
PlantAPAdb: A Comprehensive Database for Alternative Polyadenylation Sites in Pl,10.1104/pp.19.00943,,,reference
Shaping the root system architecture in plants for adaptation to drought stress.,10.1111/ppl.13651,,,reference
Opportunities and Challenges in Advancing Plant Research with Single-cell Omics.,10.1093/gpbjnl/qzae026,,,reference
Molecular characterization and functional analysis of a cation-chloride cotransp,10.1007/s00468-017-1621-8,,,reference
"A novel drought-inducible gene, ATAF1, encodes a NAC family protein that negativ",10.1007/s11103-006-9089-8,,,reference
Spatially resolved transcriptomics reveals plant host responses to pathogens.,10.1186/s13007-019-0498-5,,,reference
Spatial and single-cell expression analyses reveal complex expression domains in,10.1186/s13059-025-03811-3,,,reference
Protein degradation in signaling,10.1016/s1369-5266(00)00100-x,Current Opinion in Plant Biology,,reference
Drought recovery in plants triggers a cell-state-specific immune activation.,10.1038/s41467-025-63467-2,,,reference
Jasmonate-mediated wound signalling promotes plant regeneration.,10.1038/s41477-019-0408-x,,,reference
Single-cell RNA sequencing provides a high-resolution roadmap for understanding,10.1038/s41477-022-01291-y,,,reference
Single-nucleus transcriptomes reveal spatiotemporal symbiotic perception and ear,10.1038/s41477-023-01524-8,,,reference
Integrative single-cell analysis.,10.1038/s41576-019-0093-7,,,reference
Alternative cleavage and polyadenylation in health and disease.,10.1038/s41576-019-0145-z,,,reference
High levels of auxin signalling define the stem-cell organizer of the vascular c,10.1038/s41586-018-0837-0,,,reference
Gene expression cartography.,10.1038/s41586-019-1773-3,,,reference
Characterization of cell fate probabilities in single-cell data with Palantir.,10.1038/s41587-019-0068-4,,,reference
Generalizing RNA velocity to transient cell states through dynamical modeling.,10.1038/s41587-020-0591-3,,,reference
Museum of spatial transcriptomics.,10.1038/s41592-022-01409-2,,,reference
FX-Cell: a method for single-cell RNA sequencing on difficult-to-digest and cryo,10.1038/s41592-025-02900-2,,,reference
Plant development: regulation by protein degradation.,10.1126/science.1072831,,,reference
Genome-wide insertional mutagenesis of Arabidopsis thaliana.,10.1126/science.1086391,,,reference
An ancient mechanism controls the development of cells with a rooting function i,10.1126/science.1142618,,,reference
A high-resolution root spatiotemporal map reveals dominant expression patterns.,10.1126/science.1146265,,,reference
Cell identity mediates the response of Arabidopsis roots to abiotic stress.,10.1126/science.1153795,,,reference
Receptor-like kinase ACR4 restricts formative cell divisions in the Arabidopsis,10.1126/science.1160158,,,reference
Secreted peptide signals required for maintenance of root stem cell niche in Ara,10.1126/science.1191132,,,reference
Sucrose efflux mediated by SWEET proteins as a key step for phloem transport.,10.1126/science.1213351,,,reference
Timing mechanism dependent on cell division is invoked by Polycomb eviction in p,10.1126/science.1248559,,,reference
Visualization and analysis of gene expression in tissue sections by spatial tran,10.1126/science.aaf2403,,,reference
Defining the developmental program leading to meiosis in maize.,10.1126/science.aav6428,,,reference
Histone acetyltransferase AtGCN5/HAG1 is a versatile regulator of developmental,10.1093/mp/ssq018,,,reference
Arabidopsis E2Fc functions in cell division and is degraded by the ubiquitin-SCF,10.1105/tpc.006791,,,reference
Cell pattern in the Arabidopsis root epidermis determined by lateral inhibition,10.1105/tpc.010434,,,reference
HISTONE DEACETYLASE19 is involved in jasmonic acid and ethylene signaling of pat,10.1105/tpc.104.028514,,,reference
Transcriptional profile of the Arabidopsis root quiescent center.,10.1105/tpc.105.031724,,,reference
"SIAMESE, a plant-specific cell cycle regulator, controls endoreplication onset i",10.1105/tpc.106.044834,,,reference
High-resolution whole-mount imaging of three-dimensional tissue organization and,10.1105/tpc.107.056069,,,reference
SUMO E3 ligase HIGH PLOIDY2 regulates endocycle onset and meristem maintenance i,10.1105/tpc.109.068072,,,reference
How a plant builds leaves.,10.1105/tpc.110.073924,,,reference
TDIF peptide signaling regulates vascular stem cell proliferation via the WOX4 h,10.1105/tpc.110.076083,,,reference
Genome-wide control of polyadenylation site choice by CPSF30 in Arabidopsis.,10.1105/tpc.112.096107,,,reference
"The root hair ""infectome"" of Medicago truncatula uncovers changes in cell cycle",10.1105/tpc.114.133496,,,reference
Cell differentiation and development in Arabidopsis are associated with changes,10.1105/tpc.114.133793,,,reference
The Arabidopsis LAZY1 Family Plays a Key Role in Gravity Signaling within Statoc,10.1105/tpc.16.00575,,,reference
A Two-Step Model for de Novo Activation of <i>WUSCHEL</i> during Plant Shoot Reg,10.1105/tpc.16.00863,,,reference
A Spatiotemporal DNA Endoploidy Map of the Arabidopsis Root Reveals Roles for th,10.1105/tpc.17.00983,,,reference
Celebrating 20 Years of Genetic Discoveries in Legume Nodulation and Symbiotic N,10.1105/tpc.19.00279,,,reference
AtLAZY1 is a signaling component required for gravitropism of the Arabidopsis th,10.1111/tpj.12118,,,reference
A chemical complementation approach reveals genes and interactions of flavonoids,10.1111/tpj.12129,,,reference
The iRoCS Toolbox--3D analysis of the plant root apical meristem at cellular res,10.1111/tpj.12429,,,reference
DRO1 influences root system architecture in Arabidopsis and Prunus species.,10.1111/tpj.13470,,,reference
Role of cleavage and polyadenylation specificity factor 100: anchoring poly(A) s,10.1111/tpj.13611,,,reference
Differential alternative polyadenylation contributes to the developmental diverg,10.1111/tpj.14209,,,reference
SUPPRESSOR OF MAX2 1-LIKE 5 promotes secondary phloem formation during radial st,10.1111/tpj.14670,,,reference
Time-series transcriptomics reveals a drought-responsive temporal network and cr,10.1111/tpj.15725,,,reference
Spatial transcriptomics drives a new era in plant research.,10.1111/tpj.16437,,,reference
Faculty Opinions recommendation of Cistrome and epicistrome features shape the r,10.3410/f.726368176.793518729,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,reference
Faculty Opinions recommendation of Cis and trans determinants of epigenetic sile,10.3410/f.729069926.793540548,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,reference
Faculty Opinions recommendation of The heterodimeric transcription factor comple,10.3410/f.726907401.793526573,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,reference
Arabidopsis mesophyll protoplasts: a versatile cell system for transient gene ex,10.1038/nprot.2007.199,,,reference
Faculty Opinions recommendation of Construction of a human cell landscape at sin,10.3410/f.737616688.793575841,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,reference
PIN-mediated polar auxin transport regulations in plant tropic responses.,10.1111/nph.17617,,,reference
Single-cell transcriptome atlas of the leaf and root of rice seedlings.,10.1016/j.jgg.2021.06.001,,,reference
Spatiotemporal Transcriptomic Atlas Reveals the Regulatory Mechanisms Underlying,10.1002/advs.202507818,,,reference
Cross-stage single-cell and spatial metabolome analyses reveal periderm speciali,10.1111/nph.71285,,,reference
"Single-cell insights into plant growth, adaptation, and evolution.",10.1111/jipb.70272,,,reference
created: 2026-05-28,10.1016/j.tplants.2026.03.003内容：,,,reference
Spatiotemporal Metabolome and Single-Nucleus Transcriptome Integration Illuminat,10.1111/pbi.70672,,,reference
Single-nucleus RNA sequencing reveals transcriptional response of wheat roots an,10.1016/j.cj.2026.03.017,The Crop Journal,,reference
单细胞转录组解码被子植物木质部发育,10.1111/pce.70169,"Plant, Cell & Environment",,"development, wood, single-cell, gene-regulation"
蓝光增强ZmCRY1s与GL2互作调控玉米表皮蜡质组成,10.1038/s41467-025-67587-7,Nature Communications,,"light, metabolism, gene-regulation, signaling, development"
